,sentiment_label,text
27,1,budget package   buy 10k bracket satisfying experience device farpros1 long battery life moderate user everything except gaming said battery last 2 full days2 decent camera price picture satisfactory could better3 responsive finger print sensor4  sound quality although dolby impact much pronounced5 ui great snappy lot customization options6 display  smooth 90hz refresh rate make difference7 fast charging work finecons1 weight  heavier side 220 gms2 display could full hd 1080p3 led notification light though apps job amoled screenoverall  package
28,0,disappointed  mobilequite heavy weight obviously feel weight 220 gm far exceeding acceptable range definitely used paperweightnothing special screen processor camera alsojust marketing gimmick samsungstay away 135k deserve far better
29,1,battery average performance pros1 biggest advantage buying  battery life 2going body  greatly built come matte finish make  look really goodcons1 choosing  four camera wrong doesnt give clarity even selfie camera also camera mark2 processor also mark use  2 3 day starting saw different apps sometimes struggling3the display also markso general suggestion youre choosing  general use  battery back go itbut choosing  seeing quad camera youll left nothingthank youi hope like review
30,0,worst   samsungs worst  h many glitch  doesnt even cleverly keep  exchange deal want push flop  setting screen automatically come home screen randomly thing playing camera less mediocre sound quality bad redeeming feature battery life want long battery everything else substandard want return option want exchange another model ni option either think   taking u ride customer must raise voice malpractice  also allowing substandard unverified seller peddle junk misleading photo information
31,0,worst camera camera poor though mentioned 48mp look like 13mp
32,1,everything lit price complains anything real monster everything awesome display processor everything fingerprint work fast battery life also really huge favour camera quality theyre wrong camera quality awesome size pic go 20mb main 48mp camera must buy  really happy complains regarding anything
33,1,go giving review usage 2 daysi bought  two req 1 battery camera1 batterybang lasted 1 half day unnecessary apps pre installed please remove one takatak snapchat absolutely non sensei played call duty straight 3 hour non stop battery drained 98 80 2 camera decent ok  click phonelast least made indiaif anyone looking battery  go
34,0,powerbank 12 mp camera attached look average battery life  go ahead need  brand name otherwise 100 option available market definitely get disappointed camera actually 12 mega pixel  nothing powerbank 12 mp camera attached  must call back  definitely going kill brand name highly appreciate  gut publish review open challenge
35,0,disappointed  gpay phonepay app issue disappointed  phonepay googlepay apps working properly number visible half getting overlappedand end typing wrong pin number multiple time changed pin apps day regularly use  online payment  useful online payment due app issueswe tried return   return policy date time found issue
36,1,budget   using  last one week noticed positive negative thing itpositive point fingerprint sensor fast loved battery backup 6000 mah amazing even using throughout day camera quality really  picture amazing day light large display size 65 inch run game smoothly low graphic setting 90hz refresh rate feel smooth  doesnt lag get heated using long time exynos 850 8nm highend processornegative point made hardcore gaming processor strong enough run game smoothly high graphic weight  heavy brightness level somewhat low compared  display get around 720 x 1600 pixel downloading well uploading speed also low compared  within price range water resistant gorilla glass screen protection satisfied  camera quality battery backup
37,0,upto mark   looking doesnt support 5g wifi due downloading speed limited2ndly camera uptonthe mark 48 mp around 18 mp3rd  take hell lot time get charged handsfree box
38,1,honest opinion changing review device 2 month usage finally say bang buck awesome battery life thats want using basic social medium call rest heavy work done primary device camera average ipads 5 mp camera shoot better called true 48mpmy advice go 6gb variant 25 gb acquired system overall 4
39,0,total waste mo ey better a12 also  btter heating issuecamera dam badsensors issuesusb isuuedisplay bad look like old  today generation displayamazone need improve software check device think goodheating isueee   take much time chargingsome time rear camera work properly scan qr code barcodeoverall  like throw dustbin dont expect  like  bad experience  amazone also im sad review everyone pls dont buy
40,0,regrettable purchase conveniently skipped mentioning amoled display mentioning 90 hz refresh rate touch response faulty  sar value high despite exynos processor also conveniently skipped mentioning
41,1,marketing gimmick  90hz display see lag browing navigating apps doesnt feel like 90hz all48mp true cam option selected give noisy image otherwise normal mode work averagebattery excellent work 2 daysheating issue occur heavy usage normal mode wont notice itfront cam 8 mp averageoverall took 6gb 128 gb version 13k doesnt seem goodabove average  price
43,0,recommended  buy recieved  today observed lagging lot unlike like   considering 6gb ram hanging allcamera quality terriblelots heating issuesdoes connect 5ghz wifionly replacement option available  refund choose  wisely reviewing feedbacksbad network quality catch  network
44,0,better buy brick dont know could get disappointed purchasethe  look okayish spec sheet stupid buythe first thing notice impracticality phoneit heavy220g thick 1cm carry display worst anyone could get price pointthe processor reasonably slow face detection joke battery 6000 mah take forever charge side fingerprint sensor  camera okayish add buck buy better  oled display
46,1,average  bloatware  india force write review   decent budget display couldve better 90hz true usage since use op7t clearly evident display lack precision said  india call daily inquire whether posted review star rating give  become headache dear  team please force customer write review try reduce bloatware unwanted app installation starting think miui better display said averagecamera average spec doesnt meetperformance ok normal usebattery  call quality goodui poor recommend  one ui purchased m30s full bloatware unwanted apps getting installed  store puzzled stop thisoverall average  better go redmi note 10 better  price segment value money dela
47,1,one best value money   got 9999 decent  cost necessary gizmo bling finger print sensor  fast sensitive havent tried face unlock display top notch    price quality pic decent note im normal user camera battery  really monsterbad depends perspective slightly big small hand dumb  apps inbuilt uninstall slightly heavier  solid case read spigen branded overall happy  decent  initial offer price
48,0,buy  u want  camera die hard fan  difficult write reviewcamera qualitywhy say 48mp doesnt even look like 13mp mom  m10s camera quality screen quality far better  regret buying  high price booked first day launch came  brand generallyi go review first time ordered launch day becoz reliabilityi regret decision made recommend  anyone
49,0,m12   problem medium could loaded dont know  compromising quality deliver  evident nowadays recently got  m12  7 april 2021 exchange date 14 april 2021 7 day  display gone blur continously screen
50,0,poor network connection plz buy  facing poor network issue home others using without interruption tried many thing asked colleague neighbor  store person google tried way internet slow sim working fine devise location even internet showing offline try something also took nore 45 min download 72 mb size app atlast cancelled came due intolerance placing return order see gon na happen
51,1,overall review   camera display speed  weight little heavy worth compare price
53,1,one best smart  price decent  people say vga cam didnt notice aspect ratio 48 mp camera 48 mp cam option 34 aspect ratioand yea true wifi doesnt support 5g bandwidth decent  decent price got 6gb version 11300 using coupon credit cardthanking  indusind samsungposted pic shot  m12those dont believe ask camera setting
54,0,slow motion dont slow motion much leg
56,0,average  price  ok per price bracket however nowhere compared old vivo v5 made mistake exchanging phonethe  average
57,1,reasonable price initially given 4 star month usage see sound quality degraded feeble camera outcome much quality promised spec  average  average price meet china company competencymy old reviewi bought 6gb ram  long time user  downgraded high end series series main reason u need go  compared china model  sar sar  model 119wkg within 16 range sound quality okaypicture quality okay badbattery draining muchease navigation  performance goodthis  come backside matt finish glossy finish tat cosmetic change compared m31 series okay head set wont mention item provideoverall decent price
58,1,record sale  price  spec mo2s m12better buy m12 get better storage ram camera finger scanner etcrecord selling amazonjust checking performancewill give review 1 monthoverall  spec
59,0,average   except battery life rest option like camera display software useless  size come 6 64 inch preferable elder peopleabove 50 age fails segment micromax 1 far better m12
60,1,love  beat
61,1,excellent battery budget using  week feedback1 excellent battery last 2 day least normal usage2  performance  normal usage youtube facebook watsapp usual games3 look feel  easy use4  quite feel probably due battery capacity5 front camera  back one  maybe great selfie lovers6  doesnt hang multiple apps opened7 worthy  price based spec qualityi attached photo taken also pic taken using front back camera show difference overall  budget  nice feature excellent battery
62,0,never buy watching image online bad experience 1  heavy2 company given 48 megapixel camera camera quality poor3  slim thick mobile4 screen size narrower image5 never buy  waste moneyas per  policy ready return  wasted money
63,0,disappointedworst  ever genuine feedback 1 week usagegood thingslow pricebad things1 battery drain quicklymy old realme  3000mah battery getting 1 full day  6000mah battery drain evening2 using 4gb ram slow laggingvery versatile horrible3 finger print scanner everytime get error message could detect correct impression try again4 say 48mp true camera could notice difference old 16mp camera5 cancelation refund policy6 never buy  cancelrefund option thereconclusionbetter chose oppo realme  budget
64,0,usb 20 enabled device mhl compatible bought  mainly kid online class pandemic thought connect  tv hdmi adapter kid see class directly tv tried connect  hdmi adapter came know compatible adapter since usb hub 20 dont know  configures old usb hub new  also checked whether  mhl compatible notif buying  personal use   looking  kid online class please dont buy
65,1,meet basic expectation  doesnt meet basic expectation 10k budget segment surprised find mrp inr 15499 camera false 48mp true sensor poor performance support 5ghz wifi strange find age mankind speed performance octa core processor sloppythe thing   battery backup storage provided higher configuration buying  standby purpose fine worth money considering buy primary  take deep breath look better option budget segmentalways check manufacturer website specification detail buying
66,0,worst  expectation worst  experience might happy bought  4 year back bad touch screen slogging performance nothing
67,0,48mo camera dream bad producti never think  come samsungit 48 mp showphotos clear checking photo size found 12mp astonished contacted customer care  told change camera setting 48 mp got photo 48mp clear better previous one give low quality photo againit experiencei bought dreaming photo claritynet work problem usually  problem better thing  battery quick charging
69,0,positively warning never buy terrible  never gon na buy  edit1 adding using month call quality terrible microphone also working properly please look one waste moneythough battery life great charge time long dont buy performance drop exaggerated cant switch apps without waiting 3 4 second minimum camera quality bad welledit 2worst  ever bought never buy lot bug wifi calling get switched automatically sim signal service irritating bluetooth inferior quality lte setting change automatically
70,1,surprisingly great  great writing review 2 week usingbattery camera display goodand battery sample photo attachedphone little bit heavyfor large batteryprocessor  daily usebut gaming  also goodthank
71,1,great price snapdragon chip issue  great job delivery  ordered received dayon  happy using  3 day battery last 1and half day gaming binge watching videosthe screen comfortable issue screen though amoled average user big differencefor price great buy course snapdragon chip exynos 850 8nm price point comparable snapdragon 6series chipsetscamera decent long professional photographer  enough take atleast average great pic pic really greatthis definitely iphone one plus price definitely great
72,0,payment issue  okaybut cancelled order get discount paying  credit carddisappointed rejected
73,1,m12 better backup experience excellent im writing review using day must say  m12 great  budget segment compared vivid v17 realme 6pro im already using  m12 better backup excellent 12hr using 30 0f better used im requesting  important camera next update actually need improvement must say rs10999 best  m12  anyone thinking buy  m12 please go befor thing im happy  is1 network connectivity need updated soon possible2   prime flipkart eew apps working bug their3 youtube also buffering connected 6mbps speed network4 software think lost bug need updat soon possible side like much thanks  budget  thanks  one day delivered
74,0,compatible 5 ghz wifi  compatible 5 ghz wifi jiofiber 142 mbps speed wifi network visible  wifii called  customer care informed  connected wifi 25 ghzi returning back
75,1,price range except dual band wifi support camera picture quality par considering price range acceptablebut 5ghz band support unacceptable 202190hz screen refresh rate feel like 90hzlot lag present dont know software bugbattery performance goodspeakers  expectedoverall except wifi dual band support issue rest acceptable price range
76,1,awsome  brick size recently bought galaxym12 rs11k overall ok onething remember thst thickness  10mm thick like brick pocket overall dimension  also big hight width especialy thickness bought didnt noticed size piece thats mistake u guy please concern review buy otherthan size completly ok price
77,1,feature okayish  gave 4 star feature work great  considering price paid reviewing itpros  battery life great fingerprint sensor placement speaker  well price widevine l1 support dolby atmos storage plenty expandability form factor found  toocons performance sometimes lag 90hzs gimmick ui laggy notice smoothness went wrong camera afford put 48 megapixel camera doesnt mean  isp bad make even bayered photo look noisy would suggest use gcam mod didnt find one work perfectly exynos 850 also 3 camera bad worse shooting raw help time edit later lightroom snapseedalso noticed software add background blur look unnatural f20 happen allget parent
78,1,nice  actually brought  focus 6 gb ram 128 gb storage 48 mp camera 6000ah battery later viewing review customer upset regreting received item experience  100 satisfy  awesome  price rangethank  seller partner thank courier partner help delivery item time safty thank
79,0,work 5ghz wifi dont get duped  description  describe wifi support anywhere make  without 5ghz support year 2021 apparently  pathetic piece plastic support 5ghz wifi
80,0,miserable  dont buy dear friend believe dont waste money  worst  ever purchased slow hang often network connectivity poor jio 4g sim working perfectly old  miserably slow  watching youtube video wait minute video load cant believe miserable  come  crown option return request visit  expert dont believe goodafter two week exchanged rubbish realme  flipkart lost around r 5000 deal better suffering miserable thing cheating leaving
81,1,performance price dis price u afford m12 doubtoverall excellent performance
82,0,dont buy screen worst slow charge camera bad worst  samsungdont buy mobilevery slow charging one hour charge upto 3 4 percent onlydisplay poor qualitydischarge fast day charge 2 timescamera bad
83,0,worst quality worst  waste money time support  team  battery charger getting heated call  customer service said purchased  support  team say   call playing game completely cheated purchase   team warranty  7 day day purchaseso careful purchase electronic  get cheated themi paid r 11000 towards
84,0,slowest anf dumbest   buy dont go cost call button speedworst  speed take least 10 second start dial touch dial buttonface detectionif put khichdi mixture gas simultaneously try unlock  face detection sure khichdi get cooked faster face detectionfinger scan unlocklock button amd finger scan button stopped working within monthcamera qualitysony ericsson 2mega pixel cera 2006 better clarity thia cameraworking speedthis  winner speed race remember tortoise rabbit storymoral story worst phine
86,0,sir really sorry however m12 support 80211 bgn 24ghz sir really sorry however m12 support 80211 bgn 24ghz response  customer service inquired able detect router 5g even 6k chinese  5g detection buy think check  limited feature battery life great 6000 camera normal standard  whole big compromise cost value money
87,1,overall   pro 6 gb ram128 gb storageplus 48 mp back camerahuge 6000mah batterylooks pretty  wellfingerprint sensor sidecons front camera horriblescreen upto markdue 6k mah battery little bit heavyonly 15 watt chargerno slow mo feature cameraconclusionif use general use storage binge watching great  u gamer photo addict look worth italthough great   price range
88,0,worst   bought  reputed brand 128gb memory 6 gb rambut bad nothing working buffer every 5 second every audio video including downloaded videosaudios 5ghz wifi singal acceptance show 12 mbps 200mbps fiber comnection 24ghz wifi signal  voice network always low voice break always happens  work fone application slow crash faulty software even update sound system including ring tone low hotspot go multiple time without reason battery backup 1214 hour take long charge support  closed 3 ticket without respondingplease dont buy waste yor money
89,0,wifi doesnt support 5ghz wifi band disappointed single band wifi doesnt support 5ghz wifi band 5years old lenovo k4 note  able connect 5g wifi future 5g  even support connect 5g wifi network
90,0,worth money spent bought  galaxy m12 initially  worked  past 34 day  geting heat even without using charging hets heat upsince  carried 1 year warranty manufacturing device 6 month warranty inbox accesories including batteryi request  samsungmanifacturer replace said  earliest
91,1,blown away m12 impressively medium could loaded battery life blown away impressively great screen  processor play heavy game im loving much 90 herts refresh rate price feel even better one plus 7 pro feel difference s21 ultra
92,0,average  conscamera averagedisplay dosent feel smooth 90 hertz feel like normal displaybattery life ok per 6000 mah last 15 day moderate usagealso  provide back cover  u buy  purchase backcoverproscustomisation  goodlot theme change look  screenbuit quality oksound quality goodfingerprint reader fastdont trust youtubers marketing  sake moneythese people biggest fraud
93,1,budget sized beast absolute delight budget smartphone ordered yesterday got today within 24 hour 6gb ram 128gb memory two sim slot dedicated mem card slot got 35mm headphone jack well also got 15w fast charger box amazing mrp 15499rs sale  12499rs 10 discount sbi credit card deducting 1249rs another discount emi deducted another 440rs finally got beast  10803rs isnt something really happy purchase dad something smile amid deadly pandamic thank u  thank u
94,1,best budget  last year smooth need underestimate exynos 850 90hz refresh rateits disappointed bought second phonei use iphone se 2020with normal use 48hrs still 44 battery leftfingerprint sensor unbelievable quickcamera decent enough capture picturesdisplay quality goodoverall felt  buying 9999 icici credit card offerits worth buying far better mi price 1099912999 4gb 64gb  dont irritate add also secured
97,1,budget  gifted mom  november 2021 got better discount 64gb overall  even feel size big broad holding hand screen quality  camera performs really well daylight low light suffers bit picture clear color also accurate battery  go day half usage offcourse much considering price believe  choice  bloat ware avoid unchecking box setting first time delete apps first setup rest major complaint charger turbo charge work expected thx
98,1,great mid range   amazing price  run smooth considering exynos 850 octa core processor like 90hz screen keep time fingerprint recognition extremely fast reliable decent camera battery long lasting deal breaker doesnt support 5ghz wifi android 11 one ui 31 clean responsive run smooth without stutter lag one avoid ad bloatware setup device carefully havent seen single ad device using almost 3 weeksits best budget  feature get doesnt look feel cheap
99,0,already opened used far issue regarding producr quality deliveryit gudfurther comenting using  week sobut revealed picturesi think got used already opened producti mean whenever bought  storei got well packed sealedin transparent plastic coverbut hereit without covering sealthats family never like buy stuff amazonflipkart best electronic item gazette
100,0,por quality part overall disappointment build feel flimsy cheap got one bent display unfortunately never realised defect went pick back case wouldnt fitback  service centre said isnt covered warranty shouldve returned time deliverycamera nowhere close 48mp claimed picture clicked mediocre say leastthe saving grace decent battery lifeits   stay away though
101,1,device major issue  mostly suited multimedia video internet office workpros1  battery 2 connectivity 3 knox security 3 design 4 pricebecause   costlier 5 camera 6 durability 7 side mounted fingerprint 8 quick finger print reading 9 display although tft panel picture quality quite impressive 10 type c 11 fast charge 12 uicons1 heavy weight 2 quiet thicker 3 processor heating issue sometimes heat without reason maybe background process 4 ui lag could optimized 5 display  could given atleast ip panel 6 charger15w charger sufficient 6000mah battery 7 ui processor battery service becomes bad could  although
102,1,nice  great value  user longest time despite negetive review say best value money downside heavy get use screen quality yes side side  let absolutely fine high quality oled must get one modelsrest hang issue heat brilliant battery backup  extreme power saver mode lasted 5 day
103,1,budget  got delivered yesterday first impression initial setupsizethis huge  small hand  used single handed need use single handed often better go grippy case string ring case doesnt fall go small phonespeedit bit slow get used price range seems decent performanceaudiothis  advertised supporting dolby atmos thats bluetooth audio device  speaker kind shame audio badvideoscreenblacks exactly black price shouldnt notice thingscolors brightthe  country locked activate country sim must first use indian sim 5 min cumulativelyi tested feature like camera fingerprint sensor etc update soon
104,0,buy adware   come ton garbage apps pre installed  appears partner ironsource  app advertising company keep bugging install ton non sense apps 10 apps installed  without permission without asking agreeing anything expect   know case chinese  xiaomi figure even  come adwares wouldnt bought  knew adware  warned
105,1,best budget  10k looking budget  didnt want exceed 10k mark eventually came across model discount 9499 ordered right away dont tell guya  processor capable handling day day task ease best part battery last 2 day easily camera  enough take photo selfies win win thanks  sweet deal
106,1,value money 121221  galaxy m12 blue6gb ram 128gb storage 161221rereview one week usage learning  better recall review on121221good value money learning  feature find choice worthi idea picture quality coming different  first picturesi happy purchasethanks121221 value money  galaxy m12 blue6gb ram 128gb storagereview based first three day usereason purchase switching motoxforce due irreplaceable exhausted battery incresed rom needrating  market place 45  display available option window shopping  information  comparison communicationrating   galaxy m12 blue6gb ram 128gb storageone star five utter poor camera quality 48mp quad cam image quality damn inferior previous 24mp motoxforce image unimaginable  find galaxy s3 image fine qualitybattery charging fast listing claimsbattery life 6000mah tune expectation ehausts soonerfingerprint reader always recognising perhaps narrow finger print sensor limitationthis disappointingi encourage go better option m12thanks
107,1,one powerful battery  one serf purpose   budget powerful longlasting battery bit bulky bit slower compared higher mid range  considering 6gb ram turn animation activating developer mode make faster still apps r bit slower quite acceptable doesnt irritate getting 6gb ram inr 11500 awesome slow also camera  shutter speed slower hence u need steady clicking picture low light else turn shaky nonetheless descent camera range difficult get 6gb ram  11500 overall happy purchase  u want  around 10k much better simply spending 2030k added feature  u want secondary  office use checking email etc  kid online class sturdy enough u want non chinese  r getting 6gb ram 11500 nothing like go regret loving
108,1,okay  packaging bad though item fulfilled  day usage okay  new softwarethe battery feel like 6000mah last 2428 hour low midlevel usagea heating issue 20 min youtube watch notification displayed device automatically turned due heating chargingthe overall company want earn without much bothering value proposition
110,0,deficiency service focused deficiency service breach commitment organisation may noted service organisation defined various statute indian law obligated abide indian law accordingly customer every right question deficiency service rendered meeting requirement consumer durables impose restriction comment guideline may internal administration comment neither profane obscene expressed anguish helplessness getting redressal grievance
111,0,defective  bad sound  working less 1 month purchase warranty  may rectify issue responsible trouble faced two three day  slowly going lose market share take action seller selling defective piece 1 highest score give  deserved 0 less
112,1,value money superb great speed photo clarity loving battery last 100 charge using since 2 day yet 23 banking payment security camera speed quality  name  enough brand brand price range finger print sensor superb rate  price range 95 2 colour option available
113,0,dont buy exchange  listed exchange model buying new  mean  delisted  thats junk    say exchange listed seller buy   add money buy better  electronic junk sale especially  phonessale period defective faulty unit rolled otherwise new  problem within month 2 button smart  also important one go bad missing part waste money even warranty charge pickup drop travelling 10kms covid wasting half day queue disasterthats  sale suffer   marketswithin 20 day fingerprint scanner button stop working initially looked  seems reselling used  work return window closed  zero liability post return window dumped junk
114,1,decent  someone doesnt use many apps overall  goodhuge screen size battery life superb however facing issue performance  time run slow inspire basic apps installed also instance click send button apps located top automatically take another appthe way solve issue restarting phoneand happens daily basis tried reformatting  resolve issue still remains also colour photo arnt dynamic compared  s10
115,1,overall basic   like pure  stock android phoneeverything customisable easy use lag glitchesgames run smoothly cod asphalt 9 etccall quality goodthere wifi 6 feature everyone wifi 6 home yetoverall great simple  must buy r 10000
116,1,great budget  affordable range   purchase loved way performes special feature like 90hz display speed 6000mh battery decent camera quality someone compare high budget  criticize better go expensive overall great budget
117,0,expected type thing  medium could loaded tik tik soung plastic coming charging jackslot areamay sealing  properly gap inside sometimes  fully charged charger attached showing bottom charged 92 remaining time fully charge showing 24 minute
118,1,general use bought dad  enough general usepros1 performance fast enough general use notice much lag ui2 feature feature  f41 like camera macro mode3 battery last long4 weight weight doesnt feel handcons1 software somewhat buggy keypad upi app doesnt show completely2 camera average quality indoor photo noise also take bit time process image captureoverall  budget  general use extensive userecommended
119,1,simple yet premium would say decent  pricebattery outstandingdisplay could bettercamera decent obviously cant expect price90hz really make  special5g available thats kinda disappointingthe  also kinda heavyoverall mediocre   price
120,0,disappointed performance used mi a2 2 year  step price similar  4g64gbfound   thicker heavier slower ui bit sluggish clear chat whatsapp almost always slow quick mi a2 googlepay pin keypad render properly number cropped a2 dual speaker better sound qualcomm processorthe pro m12 display nicer battery better camera quality better dont like auto play video camera app havent found way turn yetif choose two would go mi a2 lighter sleeker faster better sound
121,1,wonder  one must possess multiple usage wonderful  power packed handy easy operate light weight value mon ey excellent  ever come across powerful battery lasting long recharges used whole day still battery dropped little amazing heating battery even long continuous usage sleek thin design large ram rom delivery  time overall five star without hesitation
122,0,defective  purchased  12th april 2021 imei number blocked 20th april 2021 enquired  simple told replacement period able return itemagain enquired  authorized service centre told defective  please discus  customer care able replace itemif  purchased shop offline maximum 14 day validity replacementnow need change mother board take minimum 15 day helpless  please try avoid purchase
123,0,mi user travel loverread doubt  smartphone mi user facing problem feature missinghere review m12bettery backup best camera quality normal front camera  screen size big pocketbrightness harmful eye night eyeprotector useless add 3 fingerprint lock sensor wrost place odd position silence key missing 4 camera myth 48mp camera also myth mi user magnitometer mean compass north south working put earphone icon show cant know plugged power button doesnt flash light 3 finger screenshot working ctype charger take charger everywhere otg supported heavy weight camera limited feature like timelaps video option grid view screen focus option   first  ok mi user opinion dont go
124,1,got expected price point much better expectation brand like  cost rest time tell far everything perfect aware face recognition finger print read though  sleek bulkier side think make even durable solid r 1000 icici credit card icing cake forget brand need say anything else totally impressed bought another one black daughter awe even though using iphone 6 mentioned box manufactured india another plus point one go eye closed budget around r 10k approx one ok satisfied feature offered happy shopping
125,1,one great  5g  20k ask  worth looking 5g  brand couple great speck like samsungs fastestmonster equipped blazing fast snapdragon 750g processor come long lasting 5000 mah battery versatile 48mp quad camera capturing stunning photo videoscons though super amoled infinityu 66 display give truetolife  indeterminately display clarity would great since hd one last even dont like inscreen security would work expected maybe used since trying 1st time blind person though
126,1,one word king medium could loaded  camera nice build quality excellent ram management performance 6000 mah battery life 2 day enough single charge really monster overall perfect smartphone every one finger print senser face lock fast excellent work  2021
127,1,economic great pros1 big display phone2  battery life3 heating usage4  soundaudio5 usage  processing speed  ramcons1 touch screen accurate click button multiple time get clicked2 like mi   apps though useless constantly keep running updating occupy memory deleted3 brightness control  max brightness min brightness less difference4 camera ok
128,0,bloatware  bought  get less bloated o  gone shameless like peer mi realme o bloated hate skin im going install custom rom yeari bought mom doesnt know protect privacy data  exploiting shamei disabled appsin photo use micro g service instead google cant disable  apps
129,1,price im writing review 1 month use faced 1month spancons 1 autorestart sometimes without information2 message app every time3 battery average490 hz refresh rate stuck phone5 charging take 2 hour charger 9w 15w6 video quality compromised7 app lock inbuilt8 installing google apps take little bit timepros1  stylish design2 smooth user interface3 animation calling descentlast least price best saw know many complication best  pricethanks
130,0,lagging  took hour set  pre installed aps updating one making  lag setup uninstall unnecessary app order ensure smooth running  time try install low graphic game  start lagging ram incapable handle low end gaming  bulky hand start hurt youre watching video content wanted thumb
131,0,samsungs worst  far worst   upgraded old galaxy on7 pro one promised better o better screen refresh rate better storage better camera quality dismay none wow factor  except battery life  hang every 510mins 2 apps running screen response rate pathetic camera quality par sure mean 48mp camera dont take  even someone offer free headache utility would urge  bring pathetic  website spoil brand name well
132,1,battery performance improved latest update took  battery performance one best  ever seen last month taking upto 2 day drain battery one update became worst taking 20 hr drain complete battery night time also taking around 25 battery update taking hardly 1 battery night timesworst part software even showing app take batterywith latest update battery  performance got goodcamera improved lotauto brightness setting still take lot time settle sometimes work need adjust manuallyoverall best  price point
133,1,great  pocket friendly got  dad love youtube watching newspros great battery life need charging two day moderate use support fast charging androidware thus smooth ui lag excellent 4 camera rear brilliant front facing camera run latest android processor quite peppycons slightly bigger length little heavy compared others future android upgrade clear 5g enabledtips got  95k wait right deal
134,0,average usage wifi calling speaker volume low   average daily use slightly disappointed wifi calling feature missing old m30 wifi calling two year ago also call volume low press ear listen call
135,1,awesome   galaxy m12 feature 65inch hd infinity v display 720x1600 pixel resolution smartphone display come 90hz refresh rate  galaxy m12 smartphone price range come high refresh rate  galaxy m12 come adaptive refresh rate mean panel locked high refresh rate high refresh rate display functioned smoothly scrolling facebook instagram reason refresh rate  galaxy m12 locked 60hz notification centre also 90hz mode turned using apps like youtube despite high refresh rate hd resolution display  galaxy m12 sharp vibrant brightness also great might face struggle using smartphone direct sunlight display large enough enjoy movie also play game display also come eye comfort shield reduces blue light screen prevents eye strain display  galaxy m12 decent definitely selling point handset
136,0,worth simply better skip  break old screen suddenly need buy brought get  price receive realized simple useless old 3gb ram  brought 2018 100 time better easily struck time touch doesnt working screen break sleep cant play pubg game cant use much outside summer work much easily shut  easily heat many problem people need  simple thing like calling watching youtube better buy
138,0,review agressive using 2 day honest totally skeptical whether buy  seeing many negative comment took risk bought itafter using  aggressively 2 day must say read review  hang operation totally false  totally work fine refresh rate 90hz  doesnt show delay ui smooth battery quite strong using aggressively max consumed 46 battery two day discharged 100 54the thing disappoint camera work like 68mp cameramacro shot detailed eitherfront camera like 23 mp camerasamsung uplifted camera quality mentioned 48mp camerathis  disappoint term camera qualityrest  work well term configuration
